T©n Y phôc	Lo¹i h×nh chÝnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	"(Ngo¹i, néi) phßng"	Thuéc tÝnh hç trî 1	TrÞ sè Thuéc tÝnh hç trî 1	Thuéc tÝnh hç trî 2	TrÞ sè Thuéc tÝnh hç trî 2	"Biªn hiÖu bé trang bÞ ( 1-10 m«n ph¸1, 11- hîp thÓ trang bÞ)"	§¾ng cÊp yªu cÇu	Giíi tÝnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàÐÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thÞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	"Cã/kh«ng thÓ giao dÞch (0 ®­îc,1 kh«ng ®­îc,)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chÝ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm																																																													
Liªu_Thanh Long T­íng Qu©n Y	0	100	20466	10	40000	0	360	23;23					50321	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_027a1.spr	\image\item\cloth\m1_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	±ê×¼ÄÐ¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20467	10	40000	0	360	23;23					50322	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_027a1.spr	\image\item\cloth\m2_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	¿ýÎàÄÐ¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20468	10	40000	0	360	23;23					50323	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_027a1.spr	\image\item\cloth\f1_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	ÐÔ¸ÐÅ®¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20469	10	40000	0	360	23;23					50324	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_027a1.spr	\image\item\cloth\f2_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	½¿Ð¡Å®¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20470	10	40000	0	360	17;25					50325	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_027a1.spr	\image\item\cloth\m1_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	±ê×¼ÄÐ¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20471	10	40000	0	360	17;25					50326	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_027a1.spr	\image\item\cloth\m2_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	¿ýÎàÄÐ¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20472	10	40000	0	360	17;25					50327	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_027a1.spr	\image\item\cloth\f1_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	ÐÔ¸ÐÅ®¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20473	10	40000	0	360	17;25					50328	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_027a1.spr	\image\item\cloth\f2_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	½¿Ð¡Å®¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20474	10	40000	0	360	17;25					50329	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_027a1.spr	\image\item\cloth\m1_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	±ê×¼ÄÐ¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20475	10	40000	0	360	17;25					50330	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_027a1.spr	\image\item\cloth\m2_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	¿ýÎàÄÐ¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20476	10	40000	0	360	25;17					50331	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_027a1.spr	\image\item\cloth\m1_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	±ê×¼ÄÐ¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20477	10	40000	0	360	25;17					50332	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_027a1.spr	\image\item\cloth\m2_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	¿ýÎàÄÐ¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20478	10	40000	0	360	25;17					50333	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_027a1.spr	\image\item\cloth\f1_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	ÐÔ¸ÐÅ®¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20479	10	40000	0	360	25;17					50334	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_027a1.spr	\image\item\cloth\f2_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	½¿Ð¡Å®¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20480	10	40000	0	360	23;23					50335	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_027a1.spr	\image\item\cloth\m1_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	±ê×¼ÄÐ¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20481	10	40000	0	360	23;23					50336	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_027a1.spr	\image\item\cloth\m2_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	¿ýÎàÄÐ¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20482	10	40000	0	360	23;23					50337	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_027a1.spr	\image\item\cloth\f1_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	ÐÔ¸ÐÅ®¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20483	10	40000	0	360	23;23					50338	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_027a1.spr	\image\item\cloth\f2_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	½¿Ð¡Å®¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20484	10	40000	0	360	23;23					50339	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_027a1.spr	\image\item\cloth\m1_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	±ê×¼ÄÐ¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20485	10	40000	0	360	23;23					50340	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_027a1.spr	\image\item\cloth\m2_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	¿ýÎàÄÐ¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20486	10	40000	0	360	23;23					50341	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_027a1.spr	\image\item\cloth\f1_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	ÐÔ¸ÐÅ®¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20487	10	40000	0	360	23;23					50342	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_027a1.spr	\image\item\cloth\f2_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	½¿Ð¡Å®¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20488	10	40000	0	360	23;23					50343	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_027a1.spr	\image\item\cloth\f1_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	ÐÔ¸ÐÅ®¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20489	10	40000	0	360	23;23					50344	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_027a1.spr	\image\item\cloth\f2_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	½¿Ð¡Å®¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20490	10	40000	0	360	23;23					50345	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_027a1.spr	\image\item\cloth\f1_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	ÐÔ¸ÐÅ®¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0																																																																		
Liªu_Thanh Long T­íng Qu©n Y	0	100	20491	10	40000	0	360	23;23					50346	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_027a1.spr	\image\item\cloth\f2_bd_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	½¿Ð¡Å®¼òÇåÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20492	10	40000	0	360	25;17					50347	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_045a1.spr	\image\item\cloth\m1_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄÐÇ§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20493	10	40000	0	360	25;17					50348	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_045a1.spr	\image\item\cloth\m2_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ýÎàÄÐÇ§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20494	10	40000	0	360	25;17					50349	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_045a1.spr	\image\item\cloth\m1_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄÐÇ§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20495	10	40000	0	360	25;17					50350	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_045a1.spr	\image\item\cloth\m2_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ýÎàÄÐÇ§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20496	10	40000	0	360	17;25					50351	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_045a1.spr	\image\item\cloth\m1_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄÐÇ§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20497	10	40000	0	360	17;25					50352	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_045a1.spr	\image\item\cloth\m2_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ýÎàÄÐÇ§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20498	10	40000	0	360	23;23					50353	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_045a1.spr	\image\item\cloth\m1_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄÐÇ§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20499	10	40000	0	360	23;23					50354	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_045a1.spr	\image\item\cloth\m2_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ýÎàÄÐÇ§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20500	10	40000	0	360	23;23					50355	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_045a1.spr	\image\item\cloth\f2_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ÐÔ¸ÐÅ®Ç§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20501	10	40000	0	360	23;23					50356	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_045a1.spr	\image\item\cloth\f1_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ð¡Å®Ç§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20502	10	40000	0	360	17;25					50357	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_045a1.spr	\image\item\cloth\f2_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ÐÔ¸ÐÅ®Ç§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20503	10	40000	0	360	17;25					50358	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_045a1.spr	\image\item\cloth\f1_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ð¡Å®Ç§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20504	10	40000	0	360	23;23					50359	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_045a1.spr	\image\item\cloth\f2_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ÐÔ¸ÐÅ®Ç§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20505	10	40000	0	360	23;23					50360	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_045a1.spr	\image\item\cloth\f1_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ð¡Å®Ç§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20506	10	40000	0	360	25;17					50361	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_045a1.spr	\image\item\cloth\m1_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄÐÇ§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20507	10	40000	0	360	25;17					50362	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_045a1.spr	\image\item\cloth\m2_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ýÎàÄÐÇ§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20508	10	40000	0	360	25;17					50363	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_045a1.spr	\image\item\cloth\f2_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ÐÔ¸ÐÅ®Ç§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20509	10	40000	0	360	25;17					50364	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_045a1.spr	\image\item\cloth\f1_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ð¡Å®Ç§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0																																																																		
Liªu_Thanh Long Nguyªn So¸i Y	0	100	20510	10	40000	0	360	23;23					50365	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_045a1.spr	\image\item\cloth\m1_bd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄÐÇ§ÑÒÔÂÂäÒÂ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0																																																																		
