Tªn giµy	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Søc phßng ngù (ngo¹i ; néi)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	"Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Tèng_Thanh Long Nguyªn So¸i Trang	0	101	20416	10	40000	0	360	23;23					50271	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m1_le_045a1.spr	\image\item\shoe\m1_le_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄĞÇ§ÑÒÔÂÂä×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tèng_Thanh Long Nguyªn So¸i Trang	0	101	20417	10	40000	0	360	23;23					50272	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m2_le_045a1.spr	\image\item\shoe\m2_le_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ıÎàÄĞÇ§ÑÒÔÂÂä×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tèng_Thanh Long Nguyªn So¸i Trang	0	101	20418	10	40000	0	360	23;23					50273	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f2_le_045a1.spr	\image\item\shoe\f2_le_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ĞÔ¸ĞÅ®Ç§ÑÒÔÂÂä×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tèng_Thanh Long Nguyªn So¸i Trang	0	101	20419	10	40000	0	360	23;23					50274	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f1_le_045a1.spr	\image\item\shoe\f1_le_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ğ¡Å®Ç§ÑÒÔÂÂä×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tèng_Thanh Long Nguyªn So¸i Trang	0	101	20420	10	40000	0	360	23;23					50275	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m1_le_045a1.spr	\image\item\shoe\m1_le_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄĞÇ§ÑÒÔÂÂä×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tèng_Thanh Long Nguyªn So¸i Trang	0	101	20421	10	40000	0	360	23;23					50276	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m2_le_045a1.spr	\image\item\shoe\m2_le_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ıÎàÄĞÇ§ÑÒÔÂÂä×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tèng_Thanh Long Nguyªn So¸i Trang	0	101	20422	10	40000	0	360	23;23					50277	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f2_le_045a1.spr	\image\item\shoe\f2_le_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ĞÔ¸ĞÅ®Ç§ÑÒÔÂÂä×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tèng_Thanh Long Nguyªn So¸i Trang	0	101	20423	10	40000	0	360	23;23					50278	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f1_le_045a1.spr	\image\item\shoe\f1_le_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ğ¡Å®Ç§ÑÒÔÂÂä×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tèng_Thanh Long Nguyªn So¸i Trang	0	101	20424	10	40000	0	360	23;23					50279	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f2_le_045a1.spr	\image\item\shoe\f2_le_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ĞÔ¸ĞÅ®Ç§ÑÒÔÂÂä×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Tèng_Thanh Long Nguyªn So¸i Trang	0	101	20425	10	40000	0	360	23;23					50280	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f1_le_045a1.spr	\image\item\shoe\f1_le_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ğ¡Å®Ç§ÑÒÔÂÂä×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Tèng_Thanh Long Nguyªn So¸i Trang	0	101	20426	10	40000	0	360	23;23					50281	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f2_le_045a1.spr	\image\item\shoe\f2_le_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ĞÔ¸ĞÅ®Ç§ÑÒÔÂÂä×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Tèng_Thanh Long Nguyªn So¸i Trang	0	101	20427	10	40000	0	360	23;23					50282	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f1_le_045a1.spr	\image\item\shoe\f1_le_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ğ¡Å®Ç§ÑÒÔÂÂä×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20428	10	40000	0	360	25;17					50283	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m1_le_027a1.spr	\image\item\shoe\m1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	±ê×¼ÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20429	10	40000	0	360	25;17					50284	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m2_le_027a1.spr	\image\item\shoe\m2_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	¿ıÎàÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20430	10	40000	0	360	25;17					50285	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m1_le_027a1.spr	\image\item\shoe\m1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	±ê×¼ÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20431	10	40000	0	360	25;17					50286	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m2_le_027a1.spr	\image\item\shoe\m2_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	¿ıÎàÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20432	10	40000	0	360	17;25					50287	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m1_le_027a1.spr	\image\item\shoe\m1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	±ê×¼ÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20433	10	40000	0	360	17;25					50288	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m2_le_027a1.spr	\image\item\shoe\m2_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	¿ıÎàÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20434	10	40000	0	360	23;23					50289	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m1_le_027a1.spr	\image\item\shoe\m1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	±ê×¼ÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20435	10	40000	0	360	23;23					50290	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m2_le_027a1.spr	\image\item\shoe\m2_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	¿ıÎàÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20436	10	40000	0	360	23;23					50291	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f1_le_027a1.spr	\image\item\shoe\f1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	ĞÔ¸ĞÅ®¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20437	10	40000	0	360	23;23					50292	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f2_le_027a1.spr	\image\item\shoe\f2_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	½¿Ğ¡Å®¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20438	10	40000	0	360	17;25					50293	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f1_le_027a1.spr	\image\item\shoe\f1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	ĞÔ¸ĞÅ®¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20439	10	40000	0	360	17;25					50294	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f2_le_027a1.spr	\image\item\shoe\f2_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	½¿Ğ¡Å®¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20440	10	40000	0	360	23;23					50295	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f1_le_027a1.spr	\image\item\shoe\f1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	ĞÔ¸ĞÅ®¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20441	10	40000	0	360	23;23					50296	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f2_le_027a1.spr	\image\item\shoe\f2_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	½¿Ğ¡Å®¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20442	10	40000	0	360	25;17					50297	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m1_le_027a1.spr	\image\item\shoe\m1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	±ê×¼ÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20443	10	40000	0	360	25;17					50298	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m2_le_027a1.spr	\image\item\shoe\m2_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	¿ıÎàÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20444	10	40000	0	360	25;17					50299	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f1_le_027a1.spr	\image\item\shoe\f1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	ĞÔ¸ĞÅ®¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20445	10	40000	0	360	25;17					50300	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f2_le_027a1.spr	\image\item\shoe\f2_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	½¿Ğ¡Å®¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20446	10	40000	0	360	23;23					50301	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m1_le_027a1.spr	\image\item\shoe\m1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	±ê×¼ÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20447	10	40000	0	360	23;23					50302	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m2_le_027a1.spr	\image\item\shoe\m2_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	¿ıÎàÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20448	10	40000	0	360	23;23					50303	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f1_le_027a1.spr	\image\item\shoe\f1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	ĞÔ¸ĞÅ®¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20449	10	40000	0	360	23;23					50304	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f2_le_027a1.spr	\image\item\shoe\f2_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	½¿Ğ¡Å®¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20450	10	40000	0	360	17;25					50305	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m1_le_027a1.spr	\image\item\shoe\m1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	±ê×¼ÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20451	10	40000	0	360	17;25					50306	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m2_le_027a1.spr	\image\item\shoe\m2_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	¿ıÎàÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20452	10	40000	0	360	17;25					50307	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f1_le_027a1.spr	\image\item\shoe\f1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	ĞÔ¸ĞÅ®¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20453	10	40000	0	360	17;25					50308	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f2_le_027a1.spr	\image\item\shoe\f2_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	½¿Ğ¡Å®¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20454	10	40000	0	360	17;25					50309	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m1_le_027a1.spr	\image\item\shoe\m1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	±ê×¼ÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20455	10	40000	0	360	17;25					50310	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m2_le_027a1.spr	\image\item\shoe\m2_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	¿ıÎàÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20456	10	40000	0	360	17;25					50311	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f1_le_027a1.spr	\image\item\shoe\f1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	ĞÔ¸ĞÅ®¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20457	10	40000	0	360	17;25					50312	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f2_le_027a1.spr	\image\item\shoe\f2_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	½¿Ğ¡Å®¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20458	10	40000	0	360	23;23					50313	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m1_le_027a1.spr	\image\item\shoe\m1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	±ê×¼ÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20459	10	40000	0	360	23;23					50314	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m2_le_027a1.spr	\image\item\shoe\m2_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	¿ıÎàÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20460	10	40000	0	360	23;23					50315	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f1_le_027a1.spr	\image\item\shoe\f1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	ĞÔ¸ĞÅ®¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20461	10	40000	0	360	23;23					50316	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\f2_le_027a1.spr	\image\item\shoe\f2_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	½¿Ğ¡Å®¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Thanh Long T­íng Qu©n Trang	0	101	20462	10	40000	0	360	17;25					50317	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\m1_le_027a1.spr	\image\item\shoe\m1_le_027a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Trang <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)"	±ê×¼ÄĞ¼òÇå×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
