Tªn vò khİ	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	CÇm trªn tay	S¸t th­¬ng ngo¹i c«ng	S¸t th­¬ng Néi c«ng 	®é s¾c bĞn	Tèc ®é xuÊt chiªu	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò;Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
S¸t Tinh-Kinh L«i ThiÒn Tr­îng	0	8	20024	50	18000	0	300	0	365;623	321;672	1	90	50135	790				\image\item\weapon\shaxing04a0.spr	\image\item\weapon\shaxing04a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	ÉÙÁÖìø10	Hé thñ		10;10	4	1	0	0		97	103	70	12
S¸t Tinh-¢m D­¬ng Xuyªn nh	0	1	20025	50	18000	0	300	0	235;594	127;197	1	80	50136	790				\image\item\weapon\shaxing06a0.spr	\image\item\weapon\shaxing06a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	°µÆ÷	¸m khİ		10;10	4	1	0	0		97	101	70	12
S¸t Tinh-Tõ Hµn ¢m KiÕm	0	2	20026	90	18000	0	300	0	223;631	389;693	1	86	50137	790				\image\item\weapon\shaxing08a0.spr	\image\item\weapon\shaxing08a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	¶ëÃ¼½£10	Tr­êng kiÕm		10;10	4	1	0	0		97	103	70	12
S¸t Tinh-Cöu Hoµn Bèi CÇm	0	10	20027	140	18000	0	300	1	283;482	323;559	1	90	50138	790				\image\item\weapon\shaxing09a0.spr	\image\item\weapon\shaxing09a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	¶ëÃ¼ÇÙ10	CÇm		10;10	4	1	0	0		97	102	70	12
S¸t Tinh-Quy L©n Hé Thñ	0	0	20028	50	18000	0	300	0	366;651	321;562	1	90	50139	790				\image\item\weapon\shaxing11a0.spr	\image\item\weapon\shaxing11a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	¿ÕÊÖ	Hé thñ		10;10	4	1	0	0		97	104	70	12
S¸t Tinh-TrÊn Ng¹o C«n	0	5	20029	200	18000	0	300	0	297;631	158;325	1	84	50140	790				\image\item\weapon\shaxing12a0.spr	\image\item\weapon\shaxing12a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	Ø¤°ï¹÷10	C«n		10;10	4	1	0	0		97	101	70	12
S¸t Tinh-ThuÇn Phong KiÕm	0	2	20030	90	18000	0	300	0	222;402	399;693	1	86	50141	790				\image\item\weapon\shaxing14a0.spr	\image\item\weapon\shaxing14a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	Îäµ±½£10	Tr­êng kiÕm		10;10	4	1	0	0		97	103	70	12
S¸t Tinh-Tinh §Èu ChuyÓn Bót	0	9	20031	130	18000	0	300	0	260;594	140;513	1	110	50142	790				\image\item\weapon\shaxing15a0.spr	\image\item\weapon\shaxing15a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	Îäµ±±Ê10	Bót		10;10	4	1	0	0		97	101	70	12
S¸t Tinh-Ph¸ Qu©n TrËn Th­¬ng	0	6	20032	130	18000	0	300	0	338;603	120;311	1	95	50143	790				\image\item\weapon\shaxing17a0.spr	\image\item\weapon\shaxing17a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	ÑîÃÅÇ¹10	Th­¬ng		10;10	4	1	0	0		97	104	70	12
S¸t Tinh-Truy MÖnh Cung	0	4	20033	130	18000	0	300	1	269;603	145;311	1	86	50144	790				\image\item\weapon\shaxing18a0.spr	\image\item\weapon\shaxing18a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	ÑîÃÅ¹­10	Cung		10;10	4	1	0	0		97	101	70	12
S¸t Tinh-ThiÖp Cèt HuyÕt §ao	0	7	20034	215	18000	0	300	2	276;603	366;623	1	105	50145	790				\image\item\weapon\shaxing20a0.spr	\image\item\weapon\shaxing20a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	Îå¶¾µ¶10	Song ®ao		10;10	4	1	0	0		97	101	70	12
S¸t Tinh-LuyÖn Hån HuyÕt Tr¶o	0	11	20035	215	18000	0	300	2	275;452	308;538	1	105	50146	790				\image\item\weapon\shaxing21a0.spr	\image\item\weapon\shaxing21a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	Îå¶¾×¦10	Tr¶o		10;10	4	1	0	0		97	101	70	12
S¸t Tinh-Ngù Thiªn Phong KiÕm	0	2	20036	90	18000	0	300	0	222;402	398;693	1	86	50147	790				\image\item\weapon\shaxing23a0.spr	\image\item\weapon\shaxing23a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	À¥ÂØ½£10	Tr­êng kiÕm		10;10	4	1	0	0		97	103	70	12
S¸t Tinh-ThÇn DiÖm Thiªn §ao	0	3	20037	200	18000	0	300	0	356;604	188;312	1	100	50148	790				\image\item\weapon\shaxing25a0.spr	\image\item\weapon\shaxing25a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	Ã÷½Ìµ¶10	§¬n ®ao		10;10	4	1	0	0		97	104	70	12
S¸t Tinh-ThÇn Phong Ph¸n Bót	0	9	20038	130	18000	0	300	0	356;604	188;312	1	110	50149	790				\image\item\weapon\shaxing26a0.spr	\image\item\weapon\shaxing26a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	Ã÷½Ì±Ê10	Bót		10;10	4	1	0	0		97	104	70	12
S¸t Tinh-ThÇn Linh Chó Tr¶o	0	11	20039	215	18000	0	300	2	222;402	398;693	1	105	50150	790				\image\item\weapon\shaxing27a0.spr	\image\item\weapon\shaxing27a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	Ã÷½Ì×¦10	Tr¶o		10;10	4	1	0	0		97	103	70	12
S¸t Tinh-Linh Lung Chi	0	13	20040	140	18000	0	300	0	373;633	197;489	1	87	50151	790				\image\item\weapon\shaxing29a0.spr	\image\item\weapon\shaxing29a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	´äÑÌÉÈ10	Linh Chi		10;10	4	1	0	0		97	104	70	12
S¸t Tinh-Cöu Tiªu S¸o	0	12	20041	130	18000	0	300	0	372;633	121;326	1	87	50152	790				\image\item\weapon\shaxing30a0.spr	\image\item\weapon\shaxing30a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	´äÑÌµÑ10	Tiªu		10;10	4	1	0	0		97	104	70	12
S¸t Tinh-Ng­ Tµng	0	14	20042	90	18000	0	300	2	379;677		1	110	50153	790				\image\item\weapon\shaxing31a0.spr	\image\item\weapon\shaxing31a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	ÌÆØ°Ê×11	Tr­êng kiÕm		10;10	4	1	0	0		97	104	70	12
S¸t Tinh-ChØ Qua	0	2	20043	90	18000	0	300	0	379;677	379;677	1	110	50154	790				\image\item\weapon\shaxing23a0.spr	\image\item\weapon\shaxing23a1.spr	Tõng lµ Bé Cöu Ch©u, sau bŞ tµ khİ x©m nhËp, t¨ng m¹nh uy lùc, nh­ng ng­êi dïng ph¶i chiÕn ®Êu kh«ng ngõng.	À¥ÂØ½£10	Tr­êng kiÕm		10;10	4	1	0	0		97	104	70	12
Tèng_Thanh Long T­íng Qu©n §ao (Cao CÊp)	0	3	20300	200	18000	0	300	0	356;603	188;311	1	100	50155	790	1	1		\image\item\weapon\wea_lv17_liupai_02a1.spr	\image\item\weapon\wea_lv17_liupai_02a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	ÉÙÁÖµ¶17	§¬n ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n §ao (Cao CÊp)	0	3	20301	200	18000	0	300	0	356;603	188;311	1	100	50156	790	1	2		\image\item\weapon\wea_lv17_liupai_02a1.spr	\image\item\weapon\wea_lv17_liupai_02a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	ÉÙÁÖµ¶17	§¬n ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n Tr­îng (Cao CÊp)	0	8	20302	100	18000	0	300	0	356;603	389;672	1	86	50157	790	1	1		\image\item\weapon\wea_lv17_liupai_03a1.spr	\image\item\weapon\wea_lv17_liupai_03a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	ÉÙÁÖìø17	Tİch tr­îng	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n Tr­îng (Cao CÊp)	0	8	20303	100	18000	0	300	0	356;603	389;672	1	86	50158	790	1	2		\image\item\weapon\wea_lv17_liupai_03a1.spr	\image\item\weapon\wea_lv17_liupai_03a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	ÉÙÁÖìø17	Tİch tr­îng	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n Thñ (Cao CÊp)	0	0	20304	50	18000	0	300	0	365;622	389;672	1	90	50159	790	1	1		\image\item\weapon\wea_lv17_liupai_04a1.spr	\image\item\weapon\wea_lv17_liupai_04a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)		Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n Thñ (Cao CÊp)	0	0	20305	50	18000	0	300	0	365;622	389;672	1	90	50160	790	1	2		\image\item\weapon\wea_lv17_liupai_04a1.spr	\image\item\weapon\wea_lv17_liupai_04a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)		Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n Ch©m (Cao CÊp)	0	1	20306	50	18000	0	300	0	349;594	127;196	1	80	50161	790	1	1		\image\item\weapon\wea_lv17_liupai_06a1.spr	\image\item\weapon\wea_lv17_liupai_06a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)		¸m khİ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n Ch©m (Cao CÊp)	0	1	20307	50	18000	0	300	0	349;594	127;196	1	80	50162	790	1	2		\image\item\weapon\wea_lv17_liupai_06a1.spr	\image\item\weapon\wea_lv17_liupai_06a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)		¸m khİ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n Ch©m (Cao CÊp)	0	1	20308	50	18000	0	300	0	349;594	127;196	1	80	50163	790	2	3		\image\item\weapon\wea_lv17_liupai_06a1.spr	\image\item\weapon\wea_lv17_liupai_06a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)		¸m khİ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n Ch©m (Cao CÊp)	0	1	20309	50	18000	0	300	0	349;594	127;196	1	80	50164	790	2	4		\image\item\weapon\wea_lv17_liupai_06a1.spr	\image\item\weapon\wea_lv17_liupai_06a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)		¸m khİ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n KiÕm (Cao CÊp)	0	2	20310	90	18000	0	300	0	372;631	389;672	1	86	50165	790	2	3		\image\item\weapon\wea_lv17_liupai_08a1.spr	\image\item\weapon\wea_lv17_liupai_08a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	¶ëÃ¼½£17	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n KiÕm (Cao CÊp)	0	2	20311	90	18000	0	300	0	372;631	389;672	1	86	50166	790	2	4		\image\item\weapon\wea_lv17_liupai_08a1.spr	\image\item\weapon\wea_lv17_liupai_08a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	¶ëÃ¼½£17	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n CÇm (Cao CÊp)	0	10	20312	140	18000	0	300	1	295;482	336;559	1	90	50167	790	2	3		\image\item\weapon\wea_lv17_liupai_09a1.spr	\image\item\weapon\wea_lv17_liupai_09a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	¶ëÃ¼ÇÙ17	CÇm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n CÇm (Cao CÊp)	0	10	20313	140	18000	0	300	1	295;482	336;559	1	90	50168	790	2	4		\image\item\weapon\wea_lv17_liupai_09a1.spr	\image\item\weapon\wea_lv17_liupai_09a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	¶ëÃ¼ÇÙ17	CÇm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n Thñ (Cao CÊp)	0	0	20314	50	18000	0	300	0	381;651	334;562	1	90	50169	790	1	1		\image\item\weapon\wea_lv17_liupai_11a1.spr	\image\item\weapon\wea_lv17_liupai_11a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)		Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n Thñ (Cao CÊp)	0	0	20315	50	18000	0	300	0	381;651	334;562	1	90	50170	790	1	2		\image\item\weapon\wea_lv17_liupai_11a1.spr	\image\item\weapon\wea_lv17_liupai_11a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)		Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n Thñ (Cao CÊp)	0	0	20316	50	18000	0	300	0	381;651	334;562	1	90	50171	790	2	3		\image\item\weapon\wea_lv17_liupai_11a1.spr	\image\item\weapon\wea_lv17_liupai_11a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)		Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n Thñ (Cao CÊp)	0	0	20317	50	18000	0	300	0	381;651	334;562	1	90	50172	790	2	4		\image\item\weapon\wea_lv17_liupai_11a1.spr	\image\item\weapon\wea_lv17_liupai_11a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)		Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n C«n (Cao CÊp)	0	5	20318	200	18000	0	300	0	372;631	196;325	1	84	50173	790	1	1		\image\item\weapon\wea_lv17_liupai_12a1.spr	\image\item\weapon\wea_lv17_liupai_12a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	Ø¤°ï¹÷17	C«n	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n C«n (Cao CÊp)	0	5	20319	200	18000	0	300	0	372;631	196;325	1	84	50174	790	1	2		\image\item\weapon\wea_lv17_liupai_12a1.spr	\image\item\weapon\wea_lv17_liupai_12a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	Ø¤°ï¹÷17	C«n	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n C«n (Cao CÊp)	0	5	20320	200	18000	0	300	0	372;631	196;325	1	84	50175	790	2	3		\image\item\weapon\wea_lv17_liupai_12a1.spr	\image\item\weapon\wea_lv17_liupai_12a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	Ø¤°ï¹÷17	C«n	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n C«n (Cao CÊp)	0	5	20321	200	18000	0	300	0	372;631	196;325	1	84	50176	790	2	4		\image\item\weapon\wea_lv17_liupai_12a1.spr	\image\item\weapon\wea_lv17_liupai_12a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	Ø¤°ï¹÷17	C«n	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n KiÕm (Cao CÊp)	0	2	20322	90	18000	0	300	0	222;401	398;692	1	86	50177	790	1	1		\image\item\weapon\wea_lv17_liupai_14a1.spr	\image\item\weapon\wea_lv17_liupai_14a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	Îäµ±½£17	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n KiÕm (Cao CÊp)	0	2	20323	90	18000	0	300	0	222;401	398;692	1	86	50178	790	1	2		\image\item\weapon\wea_lv17_liupai_14a1.spr	\image\item\weapon\wea_lv17_liupai_14a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	Îäµ±½£17	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n KiÕm (Cao CÊp)	0	2	20324	90	18000	0	300	0	222;401	398;692	1	86	50179	790	2	3		\image\item\weapon\wea_lv17_liupai_14a1.spr	\image\item\weapon\wea_lv17_liupai_14a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	Îäµ±½£17	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n KiÕm (Cao CÊp)	0	2	20325	90	18000	0	300	0	222;401	398;692	1	86	50180	790	2	4		\image\item\weapon\wea_lv17_liupai_14a1.spr	\image\item\weapon\wea_lv17_liupai_14a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	Îäµ±½£17	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n Bót (Cao CÊp)	0	9	20326	130	18000	0	300	0	349;594	306;513	1	110	50181	790	1	1		\image\item\weapon\wea_lv17_liupai_15a1.spr	\image\item\weapon\wea_lv17_liupai_15a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	Îäµ±±Ê17	Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n Bót (Cao CÊp)	0	9	20327	130	18000	0	300	0	349;594	306;513	1	110	50182	790	1	2		\image\item\weapon\wea_lv17_liupai_15a1.spr	\image\item\weapon\wea_lv17_liupai_15a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	Îäµ±±Ê17	Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n Bót (Cao CÊp)	0	9	20328	130	18000	0	300	0	349;594	306;513	1	110	50183	790	2	3		\image\item\weapon\wea_lv17_liupai_15a1.spr	\image\item\weapon\wea_lv17_liupai_15a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	Îäµ±±Ê17	Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n Bót (Cao CÊp)	0	9	20329	130	18000	0	300	0	349;594	306;513	1	110	50184	790	2	4		\image\item\weapon\wea_lv17_liupai_15a1.spr	\image\item\weapon\wea_lv17_liupai_15a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	Îäµ±±Ê17	Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
Tèng_Thanh Long T­íng Qu©n Th­¬ng (Cao CÊp)	0	6	20330	130	18000	0	300	0	356;603	188;311	1	95	50185	790	1	1		\image\item\weapon\wea_lv17_liupai_17a1.spr	\image\item\weapon\wea_lv17_liupai_17a0.spr	Tø Linh ThÇn-Thanh Long ban cho Vò Khİ <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 5,000,000)	ÑîÃÅÇ¹17	Th­¬ng	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	0	0					
