Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20494	10	40000	0	360	25;17					50349	790	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_045a1.spr	\image\item\cap\m1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20495	10	40000	0	360	25;17					50350	790	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_045a1.spr	\image\item\cap\m2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ıÎàÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20496	10	40000	0	360	17;25					50351	790	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_045a1.spr	\image\item\cap\m1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20497	10	40000	0	360	17;25					50352	790	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_045a1.spr	\image\item\cap\m2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ıÎàÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20498	10	40000	0	360	23;23					50353	790	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_045a1.spr	\image\item\cap\m1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20499	10	40000	0	360	23;23					50354	790	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_045a1.spr	\image\item\cap\m2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ıÎàÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20500	10	40000	0	360	23;23					50355	790	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_045a1.spr	\image\item\cap\f2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ĞÔ¸ĞÅ®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20501	10	40000	0	360	23;23					50356	790	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_045a1.spr	\image\item\cap\f1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ğ¡Å®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20502	10	40000	0	360	17;25					50357	790	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_045a1.spr	\image\item\cap\f2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ĞÔ¸ĞÅ®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20503	10	40000	0	360	17;25					50358	790	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_045a1.spr	\image\item\cap\f1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ğ¡Å®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20504	10	40000	0	360	23;23					50359	790	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_045a1.spr	\image\item\cap\f2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ĞÔ¸ĞÅ®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20505	10	40000	0	360	23;23					50360	790	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_045a1.spr	\image\item\cap\f1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ğ¡Å®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20506	10	40000	0	360	25;17					50361	790	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_045a1.spr	\image\item\cap\m1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20507	10	40000	0	360	25;17					50362	790	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_045a1.spr	\image\item\cap\m2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ıÎàÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20508	10	40000	0	360	25;17					50363	790	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_045a1.spr	\image\item\cap\f2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ĞÔ¸ĞÅ®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20509	10	40000	0	360	25;17					50364	790	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_045a1.spr	\image\item\cap\f1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ğ¡Å®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20510	10	40000	0	360	23;23					50365	790	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_045a1.spr	\image\item\cap\m1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20511	10	40000	0	360	23;23					50366	790	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_045a1.spr	\image\item\cap\m2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ıÎàÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20512	10	40000	0	360	23;23					50367	790	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_045a1.spr	\image\item\cap\f2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ĞÔ¸ĞÅ®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20513	10	40000	0	360	23;23					50368	790	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_045a1.spr	\image\item\cap\f1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ğ¡Å®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20514	10	40000	0	360	17;25					50369	790	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_045a1.spr	\image\item\cap\m1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20515	10	40000	0	360	17;25					50370	790	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_045a1.spr	\image\item\cap\m2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ıÎàÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20516	10	40000	0	360	17;25					50371	790	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_045a1.spr	\image\item\cap\f2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ĞÔ¸ĞÅ®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20517	10	40000	0	360	17;25					50372	790	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_045a1.spr	\image\item\cap\f1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ğ¡Å®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20518	10	40000	0	360	17;25					50373	790	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_045a1.spr	\image\item\cap\m1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20519	10	40000	0	360	17;25					50374	790	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_045a1.spr	\image\item\cap\m2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ıÎàÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20520	10	40000	0	360	17;25					50375	790	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_045a1.spr	\image\item\cap\f2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ĞÔ¸ĞÅ®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20521	10	40000	0	360	17;25					50376	790	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_045a1.spr	\image\item\cap\f1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ğ¡Å®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20522	10	40000	0	360	23;23					50377	790	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_045a1.spr	\image\item\cap\m1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20523	10	40000	0	360	23;23					50378	790	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_045a1.spr	\image\item\cap\m2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ıÎàÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20524	10	40000	0	360	23;23					50379	790	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_045a1.spr	\image\item\cap\f2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ĞÔ¸ĞÅ®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20525	10	40000	0	360	23;23					50380	790	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_045a1.spr	\image\item\cap\f1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ğ¡Å®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20526	10	40000	0	360	17;25					50381	790	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_045a1.spr	\image\item\cap\m1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20527	10	40000	0	360	17;25					50382	790	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_045a1.spr	\image\item\cap\m2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ıÎàÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20528	10	40000	0	360	17;25					50383	790	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_045a1.spr	\image\item\cap\f2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ĞÔ¸ĞÅ®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20529	10	40000	0	360	17;25					50384	790	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_045a1.spr	\image\item\cap\f1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ğ¡Å®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20530	10	40000	0	360	23;23					50385	790	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_045a1.spr	\image\item\cap\m1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20531	10	40000	0	360	23;23					50386	790	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_045a1.spr	\image\item\cap\m2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ıÎàÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20532	10	40000	0	360	23;23					50387	790	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_045a1.spr	\image\item\cap\f2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ĞÔ¸ĞÅ®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20533	10	40000	0	360	23;23					50388	790	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_045a1.spr	\image\item\cap\f1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ğ¡Å®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20534	10	40000	0	360	17;25					50389	790	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_045a1.spr	\image\item\cap\m1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	±ê×¼ÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20535	10	40000	0	360	17;25					50390	790	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_045a1.spr	\image\item\cap\m2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	¿ıÎàÄĞÇ§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20536	10	40000	0	360	17;25					50391	790	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\f2_hd_045a1.spr	\image\item\cap\f2_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	ĞÔ¸ĞÅ®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Thanh Long Nguyªn So¸i Kh«i	0	103	20537	10	40000	0	360	17;25					50392	790	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\f1_hd_045a1.spr	\image\item\cap\f1_hd_045a0.spr	"Tø Linh ThÇn-Thanh Long ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 9,000,000)"	½¿Ğ¡Å®Ç§ÑÒÔÂÂäÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
